Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
2026-02-01,2026-02-28,Crack N Omelette (3001 S Bristol St),24438076,908479,24438076,3,3,0,0.00,0.00,0,0.00,0,0.00,0.00,0.47,2.81,35.67,100.0,0.0,0,NULL,1,NULL,NULL,0,1,100.00,USD,35.41
2026-02-01,2026-02-28,Creamy Cupcake Shop (801 S. 62nd St),24099483,1016452,24099483,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.0,100.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Croissant Cravings,33899437,14211787,33899437,13,13,0,0.00,0.00,0,0.00,0,0.00,0.00,3.26,7.01,88.92,99.39,0.61,109,NULL,0,NULL,NULL,0,0,0.00,USD,37.38
2026-02-01,2026-02-28,Curry Curry Curry (S Abbott Ave),943687,419444,NULL,69,68,2,2.94,10.15,1,1.45,0,0.00,0.00,0.18,2.50,41.15,100.0,0.0,0,NULL,3,NULL,NULL,0,2,66.67,USD,36.53
2026-02-01,2026-02-28,DEACTIVATED Bhabi's Indian Restaurant(106),1059767,11181610,NULL,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.0,100.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,DEACTIVATED Hot Wings Co.,1006421,11181610,NULL,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.0,100.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,DNU Greens Salad God (2940 Justin Road #300),33898915,861211,33898915,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.0,100.0,0,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,DTLA Ramen Izakaya (W Camelback Rd),23087632,11114098,23087632,62,62,1,1.61,19.10,0,0.00,0,0.00,0.00,0.43,2.49,43.50,100.0,0.0,0,NULL,7,NULL,NULL,2,1,14.29,USD,43.19
2026-02-01,2026-02-28,Dad's Flamin' Quesadillas (7955 E Frontage Rd),24974912,11225456,24974912,9,9,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,2.83,34.00,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,34.03
2026-02-01,2026-02-28,Dad's Flamin' Quesadillas (916 Hempstead Turnpike),33895755,11225456,33895755,5,5,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,7.34,39.60,99.33,0.67,135,NULL,0,NULL,NULL,0,0,0.00,USD,39.43
2026-02-01,2026-02-28,Dangerous Ice Cream (34-02 30th St),24227750,891048,24227750,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,99.15,0.85,285,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Dangerous Ice Cream (867 FIllmore Street),2110247,891048,NULL,13,11,1,9.09,7.95,2,15.38,0,0.00,0.00,0.24,2.39,29.36,100.0,0.0,0,NULL,2,NULL,NULL,1,0,0.00,USD,31.65
2026-02-01,2026-02-28,Danny's Desserts (1147 West Chester Pike),1458742,667886,NULL,32,31,2,6.45,37.39,1,3.13,0,0.00,0.00,1.43,2.79,41.35,100.0,0.0,0,NULL,1,NULL,NULL,1,0,0.00,USD,38.94
2026-02-01,2026-02-28,Danny's Desserts (4352 E Speedway Blvd),36019835,667886,36019835,16,16,1,6.25,8.68,0,0.00,0,0.00,0.00,1.22,4.29,34.63,99.38,0.62,239,NULL,0,NULL,NULL,0,0,0.00,USD,34.61
2026-02-01,2026-02-28,Danny's Desserts (Van Nuys Blvd),23532713,667886,23532713,8,7,1,14.29,2.31,1,12.50,1,12.50,0.00,1.79,5.29,52.14,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,52.29
2026-02-01,2026-02-28,Day N Night Pancakes (N Citrus Ave),2458848,910561,NULL,8,8,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,2.13,39.88,100.0,0.0,0,NULL,1,NULL,NULL,0,1,100.00,USD,39.80
2026-02-01,2026-02-28,Day N Night Pancakes (Sullivan St),2269274,910561,NULL,8,8,0,0.00,0.00,0,0.00,0,0.00,0.00,0.16,2.20,41.88,97.88,2.12,854,NULL,0,NULL,NULL,0,0,0.00,USD,41.93
2026-02-01,2026-02-28,Daybreak Breakfast Club,36587123,13937661,36587123,4,3,1,33.33,1.81,1,25.00,1,25.00,0.00,1.23,8.87,38.00,95.19,4.81,970,NULL,1,NULL,NULL,0,0,0.00,USD,38.01
2026-02-01,2026-02-28,Daybreak Breakfast Club,36256561,908591,36256561,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,98.53,1.47,345,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Daybreak Breakfast Club (168 Myrtle Ave),32863821,908591,32863821,42,42,2,4.76,13.09,0,0.00,0,0.00,0.00,3.71,7.76,43.85,97.91,2.09,844,NULL,4,NULL,NULL,0,1,25.00,USD,38.24
